"16,19,12,17,12","14,12,15,12,17","9,7,8,7,8","12,10,16,13,16",1188
"10,15,14,17,13","10,16,16,16,11","7,8,13,11,15","14,14,12,16,15",1164
"18,12,18,14,18","10,13,19,10,19","6,12,9,5,12","12,12,19,14,13",1106
"17,14,12,16,20","16,14,16,18,16","9,14,13,5,14","20,16,14,13,11",1268
"15,13,14,14,15","19,14,13,16,20","12,9,15,5,12","15,19,13,11,10",1098
"12,13,12,10,16","12,19,12,20,20","15,14,6,12,7","11,19,20,20,13",1055
"15,10,19,14,11","19,13,10,16,16","14,5,12,8,5","14,13,10,13,15",975
"10,18,10,15,13","11,10,17,12,13","9,14,6,7,13","14,12,16,20,15",760
